,Titles,Articles,Urls
0,Obore gets temporary relief as court blocks sacking - Daily Monitor,"KAMPALA. The Director of Communication and Public Affairs at Parliament, Chris Ariko Obore has got a temporary relief after court temporarily blocked termination of his services.Kampala High Court Judge Henrietta Wolayo on Wednesday issued an interim order halting the sacking of Mr Obore pending hearing and determination of the main case. Interim order is hereby issued to give time to the respondent to file a response in the main case,  ruled Justice Wolayo before extending the case to April 17 this year.The judge s decision followed submissions by lawyers, Augustine Idoot representing Mr Obore and Ms Sitina Cherotich (Parliamentary Commission) in which they asked court for an adjournment.Ms Cherotich asked court for an adjournment reasoning that the person who was supposed to swear an affidavit was out of office.Mr Obore whose employment tenure was terminated in a March 5 letter by Clerk to Parliament, Ms Jane Kibirige sued his employer challenging the decision.According to the letter, Ms Kibirige cited a report which concludes that the recruitment of Mr Obore was founded on an illegality as it was in contravention of the Parliamentary Service (Staff) Regulations. Mr Obore petitioned the court seeking an order to restrain the Parliamentary Commission, its agents and or servants from implementing a decision of the Clerk to Parliament which terminated his employment.Through his lawyers, Mr Obore wants court to issue an order maintaining the status quo until the final determination of his case.Court documents indicate that Mr Obore has since instituted a suit for prerogative reliefs to prevent the implementation of the directives of the Parliamentary Commission.He alleges that the pending main case discloses important issues to the legality and propriety of the impugned decision which matters have a high chance of success. That in May 2015, I received a letter informing me that the Parliamentary Service Commission had expressed interest in filling the position of the Director, Communication and Public Affairs. By the said letter, I was informed that I had been identified as one of the potential candidates being considered by the Commission and I was invited for an interaction over the same,  says Mr Obore in a sworn statement.He states that on August 19, 2015, the office of the Clerk to Parliament wrote to him communicating a decision in which a job was offered on probation which he accepted.According to court documents, four years later while working in the same post, Mr Obore was served with a letter informing him of the findings of the Inspectorate of government and a termination decision by the Clerk to Parliament. That I know that prior to the decision by the Commission to terminate my service, I had never been accorded a right to defend myself before the parliament service commission or any relevant body,  states Mr Obore insisting that the authority to appoint, promote and exercise disciplinary control over a member of staff of the service is vested in the Parliamentary Commission.[email protected]",https://www.monitor.co.ug/News/National/Obore-gets-temporary-relief-court-blocks-sacking/688334-5065552-sou7huz/index.html
1,Catholic bishop accused of raping nun - Daily Monitor,"Police on Tuesday charged an Indian bishop with repeatedly raping a nun at a rural convent in a case that has cast a new shadow on the Roman Catholic church's global sex abuse crisis.Franco Mulakkal was charged with raping the nun several times between 2014 and 2016, K. Subash, police deputy superintendent in the district of the southern state of Kerala where the investigation was carried out, told AFP.The bishop also faces charges of unlawful detention, unnatural sex and abuse of authority.Mulakkal   who faces a maximum punishment of life imprisonment   has vociferously denied the allegations.PROTESTSThe police report backing the charges ran to more than 100 pages and contained statements from nuns, priests and other bishops, media reports said.The victim filed a complaint in June last year, but police only started formal questioning in September as fury over the case mounted.In a rare public show of dissent within the church five nuns staged days of protests with dozens of supporters to force authorities to take the allegations seriously.Mulakkal was arrested in October before being released on bail. Senior members of the church in the southern state have supported the 55-year-old bishop, however, and he was cheered when he returned to his diocese.ABUSE CRISISSexual abuse by clergy and the failure to take action has mired the Roman Catholic Church in scandal across the world in recent years.In February, Pope Francis publicly addressed the sexual abuse of nuns by clerics for the first time, insisting the Vatican takes seriously reports of sexual abuse and the ""sexual slavery"" of nuns.Mulakkal is accused of repeatedly assaulting the nun from the Missionaries of Jesus order at the St Francis Mission in Kerala. The bishop was the head of the order.Speaking to AFP, Sister Anupama Kelamangalath, one of the five nuns who protested outside Kerala's High Court, said they had sought to draw attention to Church authorities who were misusing positions of power.The sister, from the Jalandhar diocese in the state, said she was relieved and delighted at the charges.""We were able to achieve this despite stiff opposition from all sides. We had no-one on our side to fight for us, but Christ.""'HOLY POWERS'She insisted the protests were not against the church but aimed ""at certain figures who misused the holy powers vested in them,"" she added.""Other than truth as our weapon, we never had anything else on our side.""She told how repeated approaches to senior church officials were ignored.""When they realised that we wouldn't back down, they had us transferred and then made false cases against our families,"" she said. These included allegations they had made death threats against the accused bishop.""We were then left with no option but to approach the police and register a case against the bishop. What else could we do ""Police say they are looking into other cases of abuse of nuns and allegations that four Kerala priests blackmailed women during confession to force them to have sex.Christians   overwhelmingly Catholic   are the third-largest religious group in India. Around 80 percent of the country's 1.3 billion population is Hindu, followed by a sizeable Muslim minority.",https://www.monitor.co.ug/News/World/Catholic-bishop-accused-raping-nun-/688340-5065454-rb0saz/index.html
2,South Sudan warring rivals meet at Vatican 'peace retreat' - Daily Monitor,"South Sudan's warring rivals President Salva Kiir and rebel leader and former vice president Riek Machar began a retreat at the Vatican Wednesday aimed at finding a path to peace.The arch-rivals met at the Casa Santa Marta within the Vatican's walls, a residence for visitors and home to Pope Francis, who chose it over the traditional papal palace on his election in 2013.The unimposing hotel was the scene of historic peace talks between Israeli President Shimon Peres and Palestinian President Mahmoud Abbas in 2014.Kiir and Machar last saw each other in October last year, shortly after the signing of a power-sharing deal, when Machar made a brief return to Juba for the first time since fleeing on foot in a hail of gunfire in July 2016.Machar was Kiir's vice president until a falling out in 2013 which kickstarted a civil war just two years after independence from Sudan.Battles between those from Machar's Nuer community and Kiir's Dinka people were characterised by brutal violence, rape and UN warnings about ""ethnic cleansing"".Kiir met with Italian Prime Minister Giuseppe Conte earlier Wednesday before heading to the Vatican, where he was set to meet with members of a unity government which is meant to be in place in May.The Vatican confirmed the arrival of Machar, who under the new deal will be reinstated as vice-president.The other vice-presidents expected at the retreat are James Wani Igga, Taban Deng Gai and Rebecca Nyandeng De Mabior.Ecclesiastical authorities will be represented by the eight members of the South Sudan Council of Churches.The meeting will end Thursday with a speech by Pope Francis at 5pm (1500 GMT), followed by a dinner.",https://www.monitor.co.ug/News/World/South-Sudan-warring-rivals-meet-Vatican-peace-retreat/688340-5065442-xhpiefz/index.html
3,"South Sudan radio struggles to be free, and on air - Daily Monitor","South Sudan's Eye Radio journalists have been threatened, pulled off the air and forced to cower in hallways as bullets flew outside their studios.The only independent radio station in the war-wracked country has to walk a fine line between delivering credible information and not running foul of the government.""We really struggle in making sure we remain independent,"" station manager Koang Pal Chang, 45, told AFP.""Media are censoring themselves so they avoid having problems with authority.""The radio station began broadcasting in the years leading up to South Sudan's independence in 2011. Then, in 2013, war erupted as President Salva Kiir and his former vice-president Riek Machar fell out.In 2016, a peace deal fell apart, and Juba was hit by three days of fighting, concentrated in the neighbourhood of Jebel, home to Machar's headquarters and the Eye Radio studios.""The bullets were flying all over and even our newsroom was hit. We could see a gunship hovering around, it was like being in a movie,"" said Chang.According to the station manager, Eye Radio has about a million listeners out of an estimated population of 12 million in a country where few have access to a radio.This makes it challenging to disseminate crucial information -- about the signing of a fresh peace agreement in September 2018, for example.""There are places where ... people don't even know about the peace agreement. There is no kind of media,"" said Chang.Language and illiteracy barriersSouth Sudan has around 60 indigenous languages, no electrical grid, and less than four percent of people have internet access at home, according to the International Telecommunication Union.A 2017 study by humanitarian organisation REACH, found language and illiteracy to be the greatest barriers to news in the world's youngest country.Radio is the main source of information, while in camps for the displaced, loudspeakers are also used.In South Sudan, ""one of the most frequently-cited emergency news sources was gunshot"", to communicate information, the study found.""Some South Sudanese rely fully on traditional forms of communication ... such as sending runners to the neighbouring communities, performing war songs, displaying smoke signals... to alert about a threat or an unfortunate event,"" it added.Eye Radio is the only national broadcaster to provide a digest of the week's news in several local languages.South Sudan also has the United Nation's Radio Miraya, Radio Tamazuj broadcast from outside the country, the Catholic Radio network, and dozens of small community-based radio stations.In a country where 70 percent of the population is illiterate, newspapers are barely read outside the capital and face their own challenges.""You see blank pages (in the newspaper). Security (forces) are stationed at the printing press to go through the content before it is published,"" a local reporter told AFP on condition of anonymity.Pulled off airIn 2016, Eye Radio was briefly pulled off the air after playing a 30-second clip of Machar speaking.""Other media were shut down completely,"" said Chang.Nowadays, instead of playing voice recordings of opposition leaders, Eye Radio simply paraphrases their statements.More difficult to get around is the insecurity. Journalists are unable to leave the capital or main towns to report.""There are so many attacks on the road. Sometimes we send journalists but mostly on a organised trip"" with the UN or aid agencies, said Chang.Money is another challenge. A six-year grant from the US Agency for International Development (USAID) is ending soon.To cut costs, the station has reduced newsroom staff and installed 200 solar panels to reduce roughly by half the $10,000 spent on fuelling generators every month.""Without donor funding, the country's only independent radio station will have to go off air,"" said Charles Haskins of non-profit Internees, a partner of USAID.According to Reporters Without Borders, at least 10 journalists were killed in South Sudan between 2014 and 2017. Reporters face ""harassment, arbitrary detention, torture or execution-style murder.""Add trauma to the list, journalist Gargan Abraham Malka, 25, told AFP.""You see dead bodies, violence, these things are very normal... What is bad is when you see someone that has got an injury from gunfire and is struggling with life, but you can't give him help.""",https://www.monitor.co.ug/News/World/South-Sudan-radio-struggles-free-on-air/688340-5065436-cs12uc/index.html
4,Two engineers drown at Isimba dam - Daily Monitor,"KAYUNGA. Two mechanical engineers have drowned at Isimba dam in Kayunga District.The Ssezibwa Regional Police spokesperson Ms Hellen Bitoto said the Wednesday morning incident happened when the two ""expert engineers"" were carrying out mechanical engineering in the turbine area.She, however, said identities of the dead were not yet available. Isimba Hydro Power Project (HPP) which adds 183MWs to the national grid was commissioned by President Museveni on March 21, 2019. It is located 4km downstream of Simba Falls on the River Nile, approximately 50km downstream of the Source of the Nile.The project site is about 21km from Kayunga town and about 65km from Jinja Town.",https://www.monitor.co.ug/News/National/Two-engineers-drown-Isimba-dam/688334-5065410-ykgivmz/index.html
5,Gen Kyaligonza s assault case fails to take off - Daily Monitor,"MUKONO- Mukono Chief Magistrates Court on Wednesday extended the criminal summons against Uganda s ambassador to Burundi, Rtd Maj. Gen. Matayo Kyaligonza in connection with the alleged of assault Sgt. Esther Namaganda, a traffic police officer, about a month ago.Maj Gen. Kyaligonza was scheduled to appear before Chief Magistrate, Ms Juliet Hatanga but instead his lawyers; Mr Caleb Alaka, Mr Evans Ochieng and Mr David Balondemu showed up with an explanation why he never went to court. Your honour, A1 (Gen. Kyaligonza) just read about the criminal summons in the press and informed us that the matter is coming up today (Wednesday). He didn t know whether it was true or not. Thatis is why his lawyers, have come to court to crosscheck and we have discovered that it was true,  Mr Alaka said.  We humbly pray that you issue us an adjournment and we shall be able to communicate the new position to our client.  he addedMr  Alaka informed court that the two body guards of Gen Kyaligonza; Cpl Peter Bushenbich and Private John Robert Okurut, did not show up in court because they are in detention at Makindye Military Barracks.However, the Resident State Attorney, Mr Jonathan Muwaganya insisted that criminal summons were served to all the accused persons adding that it was the reason why their defence lawyers were in court.Mr Muwaganya told court that arrangements are being made between the Defence Ministry and the Internal Affairs Ministry to have the two junior soldiers brought to court and plead to the charges.After hearing from both sides, presiding chief magistrate, extended the criminal summons against Gen. Kyaligonza to April 29 when the former bush war fighter is expected to show up and plead to one count of assault and causing actual bodily harm to Sgt. NamagandaOn April 2 this year, Mukono Chief Magistrate s Court issued criminal summons for Gen. Kyaligonza and his body guards to appear and plead to charges in connection with the alleged assault of Sgt. Namaganda who had stopped his convoy in Seeta after making a U-turn in the middle of the road.The particulars of the charge read:  Rtd Maj. Gen. Kyaligonza on 24th day February 2019 at Seeta Trading Center in Mukono District, unlawfully assaulted No. 20914 SGT Esther Namaganda, thereby causing occasioning her actual bodily harm, Gen. Kyaligonza risks being jailed for five years if found guilty of assault occasioning bodily harm according to section 236 of the Penal Code Act.His bodyguards are facing three charges of common assault, obstructing a police officer and assault causing bodily harm.Ms Namaganda was present in court with her husband also a senior police officer, Mr Alphonse Musoni.She was also in the company of her lawyer, Mr Michael Aboneka who played the role of watching brief to ensure that justice is done.[email protected]READ: Court summons Kyaligonza over assault",https://www.monitor.co.ug/News/National/Gen-Kyaligonza-assault-case-Bushenbich-Seeta-Namaganda/688334-5065312-15oocuoz/index.html
6,Parliament probes $41 million South Sudan grain deal - Daily Monitor,"A Parliamentary Select  Committee on South Sudan Compensation is probing Uganda s role in the infamous sorghum (dura) supply saga in which companies that received payments for cereals from the government of South Sudan government, never delivered them.  The South Sudan government reportedly paid up to $1 million (Shs3.7 billion) to numerous domestic contractors to supply food to the country ahead of a then a projected famine in 2008.Under the purchase, the government of South Sudan had sought to stock dura (sorghum), a staple food in South Sudan.However, the food was never delivered, starting what was later referred to as the Dura saga. A team of World Bank auditors established later that 290 companies were paid without signed contracts and another 151 companies were overpaid. It has since been established that many of the companies involved lacked the capacity to source the required amounts of grain, while others displayed high-risk red flags.Subsequent investigations have indicated that several companies involved were shell companies that were set up hurriedly to be awarded multi-million dollar contractsMembers of the the committee on South Sudan compensation probe say they will review the matter to ascertain whether there were Ugandan companies involved in the rip off.Committee chairperson, Ms Ann Maria Nankabirwa, says they intend to find out whether some Ugandan companies that [sought or are seeking payment], supplied hot air.The committee has in recent weeks been reviewing a payment of $41 million (Shs152 billion) advanced to 10 Ugandan companies that supplied goods and services to South Sudan between 2008 and 2013, when war broke out.The 10 companies, under the Uganda South Sudan Grain Traders and Suppliers Association Ltd, got a contract to supply maize and sorghum to 10 South Sudan states under the Strategic Grain Reserves between 2008-2010, valued at $56 million (Shs208 billion). Under the agreement, the money was to be paid in five instalments.However, the South Sudan government only paid the first instalment of $15 million (Shs56 billion), leaving a balance of $41 million (Shs152 billion) prior to the outbreak of the civil war in 2013.Uganda has since secured parliamentary approval to clear the debt on behalf of the South Sudan government to traders who have been verified.The South Sudan government will then refund the money based on a repayment schedule agreed upon in a five-year Bilateral Agreement that runs from 2018- 2022.The companies that were subject to the 2010 Memorandum of Understanding between Uganda and South Sudan include Rubya Investments, Kibungo Enterprises, Aponye (U) Limited, Afro Kai Ltd, Swift Commodities Establishment Ltd, Sunrise Commodities, Ms Sophie Omari, Apo General Agencies, Ropani International and K.K Transporters. Others that were not included on the list include; Roko Construction Company, Ake-jo General Enterprise, JB Traders, Odyek Ejang Company, Dott Services, Gunya Company Limited, Premier Mompany, MFK company, among others.Committee had earlier observed that they need to meet South Sudan government officials on the compensation matter. Meanwhile, suppliers have called on the government to expedite the process of compensation saying they are losing their property and many of them getting out of business.According to Geoffrey Okwir Gunya, who is demanding up to $88,000, several Ugandans have lost their capital and investments because of the nature of trading in South Sudan. He said Parliament should speed up the process to ensure that the traders are compensated equitably.",https://www.monitor.co.ug/News/National/Parliament-41-million-South-Sudan-grain-deal-Aponye/688334-5064764-mv0yt7z/index.html
7,Ssebaana sacked for allegedly selling Buganda s land - Daily Monitor,"Kalungu Sub- county chief has been relieved of his duties for allegedly selling Buganda Kingdom land.Mr Kizito Ssebaana Namutukula was sacked by Buddu County chief, Mr Vincent Ssebowa Mayiga, during an executive meeting held at Kalungu sub-county headquarters on Tuesday.Mr Ssebaana is accused of selling over 2 acres of land in Kalungu without Mr Mayiga s consent.Mr Mayiga is the custodian of the kingdom property in Buddu County.Mr Mayiga says a coffee project that was being implemented on the land was destroyed after the land was sold.Mr Ssebaana is also accused of being a disgrace to the kingdom by refusing to attend several functions in the county without genuine reasons.Mr Mayiga says that he has instructed the sub-county secretary, Ms Eva Namulindwa to act as Sub county chief, as they look for Mr Ssebaana s replacement.Mr Charles Kawombe, the Buganda Land Board official in Buddu County, warned kingdom chiefs against using and allocating kingdom land without following the right procedures.Mr John Kiraga, who bought the land, says that he he bought it legally.  ",https://www.monitor.co.ug/News/National/Ssebaana-Bugandas-land-Kalungu-Mayiga-Namulindwa/688334-5065010-3vhuriz/index.html
8,"No money for electoral reforms, says Otafiire - Daily Monitor","PARLIAMENT. The Minister for Justice and Constitutional Affairs, Maj Gen (Rtd) Kahinda Otafiire, yesterday said the government is yet to handle the long awaited constitutional review process, including tabling of the proposed electoral reforms, due to lack of funds. While appearing before the Legal and Parliamentary Affairs Committee to present the Ministerial Policy Statement for Financial Year 2019/20, Gen Otafiire said his ministry needs Shs13.5b to constitute the Constitution Review Commission and facilitate it to do the work.He said the government plan was to deal with the electoral reforms during the constitutional review process because they all affect amendments in the Constitution. The minister was responding to queries from Kitagwenda County MP Abbas Agaba, who chairs the committee. Mr Agaba told the minister that the public is asking questions how the 2021 elections will be held without reforms. We are ready for beginning of the exercise but finance have been a problem. So we wait. Now, in the event that the constitutional review delays, it will otherwise constrain our processing of our electoral reforms,  Gen Otafiire said.The minister said since the constitutional review exercise will delay, he promised that government would soon table electoral reforms in Parliament.  I think we shall have to deal with the electoral reforms as they are and we shall be bringing them to Parliament in due course,  Gen Otafiire added. Yesterday, MPs also tasked the minister to explain why the six districts that started on July 1 last year have not held elections. They also asked Gen Otafiire to explain why it takes long for the High Court and Court of Appeal to dispose of election petitions.Ms Dorothy Azairwe Kabaraitsya, the Kamwenge Woman MP, said legislators, who have pending election petitions in courts of law, have failed to settle down in the House three years after 2016 elections. We are already on a new roadmap but there are still pending cases in court. The MPs cannot serve their people because they are up and down due to unresolved petitions,  she said.Gen Otafiire, in response, denied responsibility over the delayed elections in new districts, referring MPs to the ministry of Finance, which he said has not released money. On the delayed election petitions, he said the law bars him from interfering with the work of the Judiciary hence not in position to question judges on delayed delivery of rulings.Poll reforms  demandBackground. The demand for electoral reforms has been outstanding since the Supreme Court ruling in the presidential election petition filed by former prime minister Amama Mbabazi in February 2016.On January 30, Parliament gave government up to the end of April to table the electoral reforms. The Electoral Commission last year launched the 2021 election roadmap and some of the activities are already being implemented.[email protected]",https://www.monitor.co.ug/News/National/No-money-for-electoral-reforms-Otafiire/688334-5064364-lk41ca/index.html
9,URA officials quizzed over missing fuel - Daily Monitor,"PARLIAMENT. Officials of the Uganda Revenue Authority (URA) have failed to explain circumstances under which 9,733 litres of impounded fuel disappeared in their custody.The officials led by the Commissioner General, Ms Doris Akol, were appearing before the Parliamentary Committee on Commissions, Statutory Authorities and State Enterprises (Cosase) chaired by Kawempe South MP Mubarak Munyagwa.The committee was scrutinising the Auditor General s report for Financial Year 2013/14 where it emerged that impounded fuel belonging to Fuelex Company was 9,733 litres less upon release by URA. According to the Auditor General s report, URA seized 110,481 litres of petrol on May 30, 2006. The report adds that due taxes and penalties worth Shs93.9m were assessed and paid by the tax payer. But on the day of collecting the fuel, it was established that it was less.Consequently, a sum of Shs63.3m was agreed and paid to the owner as compensation. The point of concern was that whereas taxes were collected at a rate of Shs850 per litre, compensation was at a higher rate of Shs6,508.72 per litre. The fuel lost was only 8.81 per cent of the original seized quantity as compared to the compensation of 67.46 per cent of the taxes collected. There was no documentary proof that the officials responsible for the loss were ever reprimanded. Failure to reprimand the responsible officers against such losses may continue to escalate the problem due to negligence,  the Auditor General s report read in part.Ms Akol told the committee that the loss was incurred during storage at a private depot.But committee members, including Mr Ibrahim Kasozi (FDC, Makindye East) and Mr Paul Mwiru (FDC, Jinja East), tasked the officials to explain the circumstances under which the fuel went missing and the disparities in cost per litre. The other URA officials present were Mr James Kisale, the then URA commissioner in-charge of enforcement, and Ms Agnes Nabwire, the assistant commissioner for customs.  This particular matter, we are actually privileged to have the person who handled this matter [Mr Kisale]; I think he is better positioned to explain,  Ms Nabwire said. Before digging further into the testimonies, Mr Munyagwa cautioned the witnesses before hand. I want to ask our witnesses not to take this committee for granted, we have a huge backlog. Respect the committee,  he said.URA responseMr Kisale said the fuel was impounded on suspicion that it had been falsified to be destined for neighbouring DR Congo yet it was for use within Uganda.He also said they erred when they failed to take measurements at customs in Malaba.   I am not comfortable with this conversation from James; I think he is trying to escape from his responsibility as the supervisor at the time you impounded things, you don t know what you impounded and you accepted the authority to pay what you didn t ascertain   wondered Mr Kasozi.The MP advised that Shs63.3m that was paid as compensation should be recovered from Mr Kisale. Mr Munyagwa stressed:  James [Kisale], we can t believe you; you can t tell us that you are running URA like a market, you impound fuel and you don t know how much it is.  He added:  A number of Ugandans out there are out of business because of errant officials within URA. We must investigate this fuel to its logical conclusion. [email protected]",https://www.monitor.co.ug/News/National/URA-officials-quizzed-over-missing-fuel/688334-5064378-ngbhbt/index.html
