,Titles,Articles,Urls,Images
0,S.Africa's parliament set to elect Ramaphosa president - Daily Monitor,"South African lawmakers were set to re-elect Cyril Ramaphosa as the nation's president on Wednesday, two weeks after the ANC returned to power in legislative elections.MPs from the African National Congress, which won 230 out of 400 seats on May 8, will choose the head of state in the parliament's first post-election sitting.The ANC won the ballot with 57.5 percent of the vote, its thinnest majority since the end of apartheid.Lawmakers were sworn in before the maiden session starting at 2.00 p.m. (1200 GMT).The next president will be sworn in on Saturday and name a deputy president and cabinet at the weekend.Under South Africa's 1996 constitution, electors vote for a party, and the party selects individuals who go to the National Assembly, which then chooses the head of state.Ramaphosa, 66, is a trade unionist who played a prominent part in the struggle against white minority rule before becoming a successful business after the end of apartheid.He will be serving his first full five-year term since taking over last year from Jacob Zuma who was forced out over a series of corruption scandals.Ramaphosa's first test as he starts his new term will be his choice of a cabinet -- a task beset by rival factions within the ANC.- Shadow of scandals -Prospects of a major reshuffle were heightened hours before Ramaphosa's expected return to office, when Deputy President David Mabuza announced he would defer taking his oath as a lawmaker.In a report, the ANC's integrity commission alleged Mabuza -- the party's No. 2 -- ""prejudiced the integrity of the ANC and brought the organisation into disrepute"".His name has repeatedly come up in media reports for corruption and political killings, when he was premier of the eastern Mpumalanga province before becoming vice president last year.He became the ANC's vice president in December 2017 when Ramaphosa was elected party leader. ""We have accepted and agreed to a request by the deputy president... to postpone his swearing-in,"" party spokesman Zizi Kodwa said on local TV news channel ENCA.Kodwa said it was not a given that Mabuza, as the party's vice president, would become the nation's deputy president.""The fact that he is deputy president of the ANC is not a guarantee or guarantor of a position of the deputy president of the republic,"" said Kodwa. Another senior ANC official, outgoing environment minister Nomvula Mokonyane, who has been named in the ongoing judicial inquiry into state corruption, has also pulled out and will not be an MP.The main opposition Democratic Alliance's chief whip in parliament, John Steenhuisen said the last-minute withdrawal by two senior ANC members is ""very clearly a sign that something is afoot in the ANC"".""It is completely bizarre ...and telling the divisions that exist within the governing party are continuing to exist and we are seeing manifestations of the various factions now playing out,"" said Steenhuisen.",https://www.monitor.co.ug/News/World/SouthAfrica-parliament-Ramaphosa-president--election/688340-5126826-oopqhu/index.html,/static/img-2019-05-22/post0.png
1,"Opposition will not get power on a silver plate, says Kivejinja - Daily Monitor","The First Deputy Prime Minister and Minister for East African Affairs, Mr Kirunda Kivejinja has attacked people who want to take up leadership in this country, saying it will not come on a silver platter.In what appeared like a dig at Kyaddondo East Member of Parliament, Mr  Robert Kyagulanyi, aka Bobi Wine, Mr Kivejinja told journalists in  in Kampala on Tuesday that  you can t just come from the ghetto to be the president .Bobi Wine a musician-cum politician campaigns on the People Power movement political platform which is attracting support mainly among young people.Mr Kivejinja was speaking to journalists about the achievements of his ministry in delivering the 2016-2021 National Resistance Movement (NRM) manifesto.He said that when NRM captured power after an armed struggle, they had a formula of how they would rule Uganda but a political quarrel developed within the party in 2001 which forced them introduce a mult-party political system.On his ministry s achievements, Mr Kivejinja said government has managed to make some border crossings one-stop points where traders clear their goods and are not stopped again until they reach their destinations, saves time.He said most of the projects were constructed with the support of the World Bank and Trade Mark East Africa.He said East Africa Community member states are working on the actualisation of the monetary union and apolitical federation.Mr Kivejinja said Uganda s quarrel with Rwanda is insignificant and cannot derail progress in the region.  ",https://www.monitor.co.ug/News/National/Opposition-power-silver-plate-Kivejinja-NRM-Bobi-Wine-/688334-5126750-d6arptz/index.html,/static/img-2019-05-22/post1.png
2,Kenyan author Binyavanga Wainaina dies - Daily Monitor,"Kenneth Binyavanga Wainaina, a renowned Kenyan author, winner of the 2002 Caine Prize for African Writing, blogger and gay rights activist, has passed on aged 48.Wainaina, an acclaimed African literary giant and founder of the Nairobi-based journal Kwani , died after suffering a stroke, according to his family and sources at his Kwani Trust network.Kwani Trust Chairman, Tom Maliti, on Wednesday said that the writer died a few minutes past 10pm at a Nairobi hospital.It was Wainana s short story Discovering Home that scooped the 2002 Caine Prize for African writing and in 2003 he was given an award by the Kenya Publisher s Association in recognition of his services to Kenyan literature.He is one of the most high-profile individuals to announce their gay sexuality in Africa having made the bold move in 2014 after publishing an article titled  I Am a Homosexual, Mum  that got Kenya, Africa and the world talking.An excerpt from the piece relieved him of his closely guarded secret as he let the world know through a re-imagination of his mother s last days as she lay on her deathbed. Never, mum. I did not trust you, mum. And. I. Pulled air hard and balled it down into my navel, and let it out slow and firm, clean and without bumps out of my mouth, loud and clear over a shoulder, into her ear.  I am a homosexual, mum. He later tweeted that,  I am, for anybody confused or in doubt, a homosexual. Gay, and quite happy,  putting to rest the debate the article stirred.That same year, Time magazine named him as one of the  Most Influential People in the World  in its annual TIME 100. Accounting careerThe celebrated author first had his eyes set on a lucrative accounting career before settling on literature.He moved to South Africa after transferring his credits from the University of Nairobi, where he was studying for a Bachelor's of Education degree, to the University of Transkei to study commerce.However, he never completed the degree.Struggling to make ends meet as a young man in a foreign country, he began to run a restaurant business.Later, he started writing food and travel articles for the Weekend Argus. I was fortunate to reside in a country that is very annoying to live in,  Binyavanga says of South Africa.Born in Nakuru s Milimani, Binyavanga says he was a timid and shy child. But I feel like now my season is beginning, in this continent called mine, and I am an African; I want no space to not welcome me,  he said while speaking at TED Talks in 2015.His confession of being homosexual caught many by surprise. I am not afraid to talk. In fact, I am doing a documentary on it because this thing must be discussed. Kenyans should discuss it in all platforms but not before they hear the full story,  he said.And as people were still grappling with this news, he revealed in a tweet on December 1, 2016   during World Aids Day   that he was HIV positive. What I said (in a tweet) is true. I m HIV positive and happy! That is all I can say,  he said. First incident of suffering a strokeThis was not the first time Wainana suffered from a stroke. In November 2015, he appealed for help after suffering a stroke. He was admitted in the Intensive Care Unit at Karen Hospital and got discharged three weeks later.",https://www.monitor.co.ug/News/National/Kenyan-author-Binyavanga-Wainaina-dies-Gay-HIV-/688334-5126398-108a0fa/index.html,/static/img-2019-05-22/post2.png
3,"Three die in accident, residents steal their rice - Daily Monitor","Kalisizo- Police are searching for people who stole rice from a truck that overturned and killed three people.The accident occurred on Tuesday at about 5 pm at Jongoza village, Kalisizo, on Masaka-Mutukula road.Witnesses say, the driver lost control of the speeding truck that was carrying dozens of rice bags. Three occupants of the truck which veered off the road into a swamp, died instantly.The victims are Mohammed Katumba, the driver; Elias Kibuule, a resident of Kakunyu village in Kalisizo, Kyotera District and John Kasawuli of Buyanja village in Masaka District.According to Mr Joseph Kiyimba, an eyewitness, residents who rushed to the scene carried rice bags after realising that all the passengers had instantly died.Police officers who later secured the accident scene, saved some rice from being stolen. ""Over 300 bags of rice were stolen by residents. We have started investigations to ensure that the rice is recovered,"" Mr Paul Kangave, the police spokesperson in the Greater Masaka region said.Mr Kangave said bodies were taken to Kalisizo Hospital for a post-mortem.",https://www.monitor.co.ug/News/National/Three-die-accident-residents-rice-Kalisizo-Masaka/688334-5126076-30opfoz/index.html,/static/img-2019-05-22/post3.png
4,Parliament approves more Shs17b for Museveni country tours - Daily Monitor,"Parliament. Parliament has approved Shs33 billion as additional budget for State House to run President Museveni s activities about four weeks to the end of the financial year. The budget includes Shs17.6 billion for Mr Museveni s ongoing field tours countrywide, which he says are for sensitising the public on poverty alleviation and Shs15.7b for classified expenditure. The supplementary request dated May 17 was yesterday tabled before Parliament s before the Budget Committee yesterday by Minister of State for Planning David Bahati.According the documents tabled in Parliament, the money will be used for transporting, feeding and accommodating the President and his entourage.Finance minister Matia Kasaija said:  He has to fly; there are cars following him, then the advance team, so it is not cheap,  he said. The approval was done amid objections from the Opposition who claimed the President wants the money for early campaigns.MPs Muwanga Kivumbi and Cecilia Ogwal opposed the expenditure, claiming the President s field operations should be funded by his NRM party since he is engaging in early election campaigns.  You have to advise the President that if he is going for a nationwide campaign he should avoid NRM politics,  Ms Ogwal said. In all the regions Mr Museveni has visited, he has been endorsed as the NRM sole candidate.He has toured West Nile, Bunyoro, Tooro and northern Uganda where he has commissioned roads and addressed public rallies in the last three weeks. In 2018/2019 financial year, the President was given Shs249b for field operations.[email protected]",https://www.monitor.co.ug/News/National/Parliament-approves-more-Shs17b-Museveni-country-tours/688334-5125928-k7h2ouz/index.html,/static/img-2019-05-22/post4.png
5,Traffic diverted as construction of  Kampala Flyover starts - Daily Monitor,"Traffic at Shoprite and Clock Tower junctions will be temporarily diverted as the construction of the Kampala Flyover Construction and Road Upgrading project (KFCRUP) starts.The project is a joint venture between Shimizu Corporation and Konoike Construction Company Ltd.Uganda National Roads Authority (UNRA) officials on Tuesday issued a statement announcing what they termed as  temporary diversion of traffic  around Clock Tower and Shoprite junction also known as Queens Way junction and Nsambya Road.  They, however, clarified that this is not total road closure but rather diverting traffic to one lane instead of the current two lanes being used. UNRA officials say, as construction starts, motorists as well as cyclists should expect delays because of the traffic jam in the affected areas especially during rush hours.However, the affected roads will be closed for 24 hours from Wednesday May 15 to Friday June 12 2019.A schedule for temporary traffic diversion states that Nsambya road will be jammed for 10 days, Queens Way will be for 10 days while the jam at Clock Tower and Shoprite Junction will persist for  20 days. This implies that Kampala-bound traffic (Nsambya to Kampala) shall use the lane on the extreme left. This will also apply to  Nsambya bound travellers (Kampala to Nsambya)/Kibuli traffic who will use the lane on the extreme left.Entebbe-bound traffic (Kampala to Entebbe) will also use the lane to extreme left.  We urge road users to take note of the above schedule and adjust accordingly,  a UNRA statement reads in part.  We deeply regret the inconveniences caused and look forward to your understanding and good cooperation.  The Kampala Flyover Road Project is a road-improvement project in the Central Division of Kampala.BackgroundThe flyover project will be executed in phases. Phase 2 will be on Jinja Road near the Centenary Park and Wampewo Roundabout.  JICA will also fund it. The tendering of the design for the second phase will be announced next year. Phase two is expected to cost Shs659 billion.JICA conceived the flyover project eight years ago after commissioning studies to explore options for alleviating chronic traffic jams around the Greater Kampala Metropolitan Area. The flyovers are also expected to connect outwards to the proposed Kampala-Jinja and Kampala-Mpigi Expressways.The government and Japanese government signed a loan for the flyover project in 2015. ",https://www.monitor.co.ug/News/National/Traffic-diverted-constructions-Kampala-Flyover-Nsambya/688334-5126208-yv43m3/index.html,/static/img-2019-05-22/post5.png
6,Museveni okays Shs35b for parties - Daily Monitor,"ENTEBBE. President Museveni has granted a request by political parties seeking government to increase funding to them from Shs10b to Shs35b annually. The money is meant to cover the political parties  administrative costs at both national and district offices.The President ordered Finance minister Matia Kasaija to find the extra Shs25b, which should be included in the Budget for the 2019/20 financial year, which begins in July.The increased funding was one of the resolutions reached during closed-door proceedings of the Interparty Organisation for Dialogue (IPOD) Summit at State House Entebbe on Monday. The IPOD Summit comprises five political parties, which have representation in Parliament. They are the ruling NRM, the Democratic Party (DP), Uganda Peoples Congress (UPC), Justice Forum (JEEMA) and the Forum for Democratic Change (FDC). The State House summit on Monday was attended by the NRM chairperson, Mr Museveni, DP president-general Norbert Mao, UPC president James Akena, and Mr Muhammad Kibirige Mayanja, who represented Jeema party president Asuman Basalirwa. FDC boycotted the dialogue.Sources in the closed-door summit revealed to Daily Monitor that when the agenda of financing political parties was read out by Mr Mao, Mr Museveni showed no objection but disagreed with the IPOD Council on how the money should be spent.Sources said the President opposed the plan to allocate 20 per cent of the money to the IPOD Secretariat and share the balance equally among the parties. Sources said Mr Museveni instead guided that 40 per cent be used on administration of parties, including paying salaries of staff, 15 per cent goes to IPOD and the rest be spent on running parties  activities. The Shs35b will be shared by political parties in accordance with their respective numerical strength in Parliament.Mr Kasaija, who was in attendance, reportedly told the President that  it could not be possible  to have the money in the new financial year budget because allocations had already been completed. However, sources said Mr Museveni ordered the minister to find the money by whatever means to avoid conflicts in the parties that might breed violence. The minister of Finance was crying  there is no money  but after the President ordered him to find the money, he said  let me go and look around ,  a source said.During the summit, Mr Museveni reportedly also agreed to the proposal to amend the Public Order Management Act (POMA), which the Opposition said is being used by police to block their meetings. The political parties were concerned about Section 5 of the Act, which provides that the Inspector General of Police shall be notified about a public meeting or gathering by anyone or political group organising such a meeting at least three days before or not more than 15 days before the proposed date.Museveni on Bobi, BesigyeSources said much as the President agreed to the proposed amendments tabled in Parliament for approval, he insisted that former FDC presidential candidate Kizza Besigye and Kyadondo East MP Robert Kyagulanyi, alias Bobi Wine, will still be blocked by police from traversing the country because they do not have the legitimacy to carry out national mobilisation of the masses.Sources said the President argued that Dr Besigye and Mr Bobi Wine do not have  legitimate positions  in political parties. He said Dr Besigye does not occupy any defined position in the FDC hierarchy whereas Mr Bobi Wine is an MP whose operation should be restricted to his constituency.  What is their identity  We are discussing political party issues. If you are a party president or secretary general you should not be blocked from mobilisation,  the President reportedly said.He was responding to a concern by Mr Mayanja on why Bobi Wine and Dr Besigye were being blocked by police from meeting the people.Mr Museveni reportedly said Secretaries General should be allowed to do mobilisation for their respective political parties countrywide. However, the President s justification for blocking Dr Besigye and Bobi Wine does not explain why the police have been blocking rallies and meetings organised by Mr Patrick Amuriat Oboi, who is the FDC president. In his speech after the IPOD summit, Mr Mayanja said he was not satisfied with the President s explanation about the security agencies blocking Bobi Wine s music concerts.What people power, FDC sayMs Ingrid Turinawe yesterday said there is no way Dr Besigye, an FDC card holder, can be barred from being deployed by his party president to move around the country on any errand.  Mr Museveni should know that Dr Besigye is a Ugandan who won the 2016 elections but he overthrew him by sending him to prison. We will not allow Mr Museveni to tell us who should be deployed and who should not,  she said.The spokesperson of Bobi Wine s People Power political pressure group, Mr Joel Ssenyonyi, described the President s stance as someone fearing politicians who do not have identity.  Our President always fumbles with matters of law. Now, which law was he quoting here  If Hon Kyagulanyi has no political identity, why is he so scared of him   he said.[email protected] ",https://www.monitor.co.ug/News/National/Museveni-okays-Shs35b-parties/688334-5125902-13ixsxdz/index.html,/static/img-2019-05-22/post6.png
7,Cabinet elevates 15 municipalities to cities - Daily Monitor,"KAMPALA. The first five of the 15 cities that the Cabinet approved on Monday will start operations in July 2020, Ministry of Local Government has confirmed.  We have set aside a budget of Shs130b to operationalise [to make operational] the cities, with the first lot starting operations in July 2020,  Col Tom Butime, the minister of Local Government, said yesterday.The first lot has Arua, Gulu, Jinja, Fort Portal and Mbarara. In the second cohort, Hoima and Mbale will be elevated in 2021, while Lira and Entebbe will be in the third lot of the elevation. Others are Nakasongola, Moroto, Masaka, Soroti, Kabale and Wakiso. While presenting the list of the cities yesterday, Col Butime said all the cities will be managed by the Ministry of Local Government. Col Butime said the nine municipalities meet all the minimum requirements to be elevated to a city status, and will be upgraded in phases.  As part of the overall effort to fast track Uganda into middle income status government has approved creation of 15 cities and their operationalisation is phased. Arua, Mbarara, Fort Portal and Gulu will start operations in July 2020, Hoima and Mbale will start in 2021, while Lira and Entebbe will come on board in 2022. Nakasongola, Moroto, Masaka, Soroti, Kabale and Wakiso will start operations in 2023,  Col Butime said.He said the ministry is now developing guidelines for the operations of the approved cities. According to him, the guidelines will help in running the administration of the cities. We shall sit down and give guidelines to these new cities on how they are going to operate because the only city we have is Kampala, which is a central government city. There has never been a city which is local government. Now there are going to be cities as local governments so we need to have very clear guidelines of operations,  he said.Election of Members of ParliamentAccording to the directive from the Local Government, each city will have three MPs. Two will represent the divisions within the cities and one Woman MP, just like the district representatives.Col Butime said the creation of the cities will not eliminate the districts, adding that the original districts would remain intact, while the cities will have their own administrative units.For example, initially, the entire Arua District had passed a resolution to become part of Arua city. However, later, Vurra County decided that they would not be part of the district, but would opt to be a district of their own. If the decision goes through, Arua District will cease to exist, metamorphosing into Arua City.The minister said a city like Arua will have one representative for Arua Central, which is the current municipality, and another one representing Ayivu Division. We have divided them into two divisions, each division will have an MP, and just like the district, the third MP will be the Woman MP, to add the numbers to three,  he said.He said all the new municipalities will have equal numbers of legislators to represent them.On the boundary issues, Col Butime said all the issues regarding the boundaries between the divisions, cities and the mother districts have already been resolved. He said prior to presenting the list of the cities to the Cabinet for approval, the commissioner for urban development was tasked to ensure that the issues are resolved and presented a clean bill of health. You know before we went to the Cabinet, the commissioner for urban administration went back to all those proposed cities and made sure that there was no debate or quarrel over those boundaries. As I talk now, we were in Cabinet last night, there was no misunderstanding over the boundaries, it is very clear. We made sure there was no going back to mark the boundaries of those divisions of the cities,  he said.Other administrative unitsThe minister also said a number of other administrative units have also been created to create closer service delivery points to the people. He said over the last three years, government has operationalised the creation of 23 districts that were approved before the 2016 elections. The remaining districts that did not start operations will effective July 1, this year become districts. They include; Rwampara, Karenga, Obongi, Kalaki, Kitagwenda, Kazo and Madi Okollo districts. Terego District will start operations in 2020, according to the minister.The minister said overall, the ministry has completed 62 per cent of the manifesto promises and is on course to score 100 per cent by the end of this year, or early next year. To this end, the ministry has already realised 62 per cent of the manifesto commitments and remains committed to achieving 100 per cent by completing construction of markets, improving staff levels, conducive environment and scaling up resources transferred to the local governments,  he said.[email protected]",https://www.monitor.co.ug/News/National/Cabinet-elevates-15-municipalities-cities/688334-5125824-5h8yw4z/index.html,/static/img-2019-05-22/post7.png
8,AAR clinics reopen as doctors call off strike - Daily Monitor,"Private clinics under Africa Air Rescue (AAR) Healthcare Uganda resumed operations yesterday after the management heeded to the striking doctors  demands for salary enhancement.Eight of the 11 AAR private clinics closed last Friday after doctors laid down their tools, protesting low pay compared to their counterparts in other private and public hospitals.Following a meeting with management on Monday, the doctors agreed to return to work.  The purpose of this collective agreement between the employer and the employee is to mutually agree on satisfactory working relations between the employer and its employees, establish and maintain its rates of pay and conditions of employment, to provide appropriate procedures for prompt resolution of grievances and problems and to recognise the mutual value of joint discussion, consultation and negotiation,  the collective agreement between both parties reads in part. The doctors, who receive between Shs1.9m and Shs2.1m net salary were demanding at least Shs3m net salary, while the part-time doctors wanted their current pay of Shs12,000 per hour revised to Shs15,000 per hour.Under the collective agreement, entry salary for doctors shall be gross of Shs3.8m and net of Shs2.5m. On the other hand, management agreed to pay part time doctors Shs13,000 per hour and specialised doctors will be paid 50 per cent of the consultation fees in line with the respective insurance companies. Although salary adjustments are slightly lower than the earlier demands, one of the doctors said they accepted the terms to allow services to resume as talks with management for better working conditions continue.  For me it was not even about the salary increment alone but even the way things are handled such as threatening doctors whenever they demand for better terms,  said the doctor who did not want to disclose his identity.Mr Indren Pooven, the AAR chief executive director, said on Sunday that they had taken long to adjust the staff salaries because the Group s board needed more information before the approval. AAR Healthcare Uganda Limited is a subsidiary of AAR Healthcare Holdings Limited operating in East Africa.The doctors had also complained that the Shs15,000 given to specialists per patient is too little compared to the Shs50,000-Shs80,000 paid by patients. [email protected]",https://www.monitor.co.ug/News/National/AAR-clinics-reopen-doctors-call-off-strike/688334-5125606-vlwkpez/index.html,/static/img-2019-05-22/post8.png
9,"Uganda needs 5,000 pharmacists - experts - Daily Monitor","Uganda needs at least 5,000 pharmacists for both the private and government sectors to effectively serve the population, experts have said. This was revealed in Kampala yesterday during the launch of the 8th convention for pharmacy students that will be held in July.Dr Samuel Opio, the secretary Pharmaceutical Society of Uganda, said currently, Uganda has 1,100 registered and licensed pharmacists but about 20 per cent of them are out of the country for further studies or work. We need to increase five times more because only 150 pharmacists graduate annually and we need to increase the number to 600 to be able to cover the gap in 10 years to come,  he said.Brain drainDr Opio added that of the registered pharmacists, 90 per cent are employed in the private sector. This means that access to the pharmacists is still a problem for Ugandans who are using public sector facilities, especially in remote areas. That is why they end up having individual treatment,  he said.Dr Opio added that the public should also change the perception that pharmacists are drug sellers yet they are experts in medicine.  Currently, there is a need to have more veterinary pharmacists because screening of animal products is becoming a problem in Uganda and it is meant to be done by these pharmacists,  he said. Dr Opio also revealed that they have developed a mobile application that will help improve pharmaceutical services across the county. This application will be used by the pharmacists and their employers. It is currently on trial for the whole of this month after which we expect to launch it,  he said. Mr Morris Seru, the acting commissioner for pharmaceuticals in the Ministry of Health, said that government is not in position to employ all the pharmacists needed in the country. As government, we know where we need pharmacists and we are working to make sure that we have them but some will be hired by private sectors,  he said. Mr Seru added that they want a pharmacist for every district. We are working with the human resource department because district health officers are over loaded and these pharmacists will be responsible to support in pharmaceutical services right from health centre II. We need one pharmacist per 10 people, which means we still have a gap of 4,000 pharmacists,  he said. [email protected]",https://www.monitor.co.ug/News/National/Uganda-needs-5000-pharmacists-experts/688334-5125622-4y90ub/index.html,/static/img-2019-05-22/post9.png
